                                    Reporte de Prueba de Spotify Ordenado por Titulo
========================================================================================================================
                                            Titulo                                           Artista
                                     Eternal Flame                                     Atomic Kitten
                                          Eternity                                   Robbie Williams
                           Evacuate The Dancefloor                                           Cascada
                     Every Teardrop Is a Waterfall                                          Coldplay
                                 Everybody in Love                                               JLS
                                          Everyday                                             Logic
                 Everyday I Love You Less And Less                                     Kaiser Chiefs
                                         Everytime                                    Britney Spears
                                Everytime We Touch                                           Cascada
                             Everytime You Need Me                                            Fragma
                                          Exchange                                     Bryson Tiller
                                    Excuse Me Miss                                               JAY
                                       Eyes On You                                          Jay Sean
                                   F**kin' Perfect                                              P!nk
                                  F**kin' Problems                                        A$AP Rocky
                                              FEFE                                           6ix9ine
                                           FRIENDS                                        Marshmello
                                         Face Down                        The Red Jumpsuit Apparatus
                                             Faded                                              Tyga
                                             Faded                                               ZHU
                                             Faded                                       Alan Walker
                                             Faint                                       Linkin Park
                                           Fake It                                           Seether
                                     Family Affair                                     Mary J. Blige
                                             Fancy                                       Iggy Azalea
                                          Far Away                                        Nickelback
                                          Fast Car                                        Jonas Blue
                                          Fast Car                                        Jonas Blue
                                    Feel Good Inc.                                          Gorillaz
                                     Feel So Close                                     Calvin Harris
                                  Feel This Moment                                           Pitbull
                                     Feel the Love                                        Rudimental
                                             Feels                                     Calvin Harris
                                      Fergalicious                                            Fergie
                                            Fetish                                      Selena Gomez
                               Fight For This Love                                            Cheryl
                                           Fighter                                Christina Aguilera
                                        Fill Me In                                       Craig David
                                        Fill Me In                                       Craig David
                                        Final Song                                                Mo
                                    Find Your Love                                             Drake
                                        Fine China                                       Chris Brown
                                           Finesse                                        Bruno Mars
                                              Fire                                          Kasabian
                                      Fire Burning                                     Sean Kingston
                                         Fireflies                                          Owl City
                                         Firestone                                              Kygo
                                          Firework                                        Katy Perry
                               Fit but You Know It                                       The Streets
                                   Five More Hours                                            Deorro
                                            Flames                                      David Guetta
                                   Flashing Lights                                        Kanye West
                                              Flex                                   Rich Homie Quan
                                           Foolish                                           Ashanti
                                           For You                                        Liam Payne
                                           Forever                                       Chris Brown
                                           Forever                                             Drake
                                  Forgot About Dre                                           Dr. Dre
                                     Freak Like Me                                         Sugababes
                                     Freaky Friday                                         Lil Dicky
                                             Freek                                       Petey Pablo
                                        Freestyler                                      Bomfunk MC's
                                           Friends                                     Justin Bieber
                              From Paris to Berlin                                          Infernal
                                          Frontin'                                 Pharrell Williams
                                           Fuck It                                             Eamon
                                         Full Moon                                            Brandy
                                              GDFR                                          Flo Rida
                                             GUMMO                                           6ix9ine
                                         Galvanize                             The Chemical Brothers
                                     Gangnam Style                                               PSY
                                    Gangsta Lovin'                                               Eve
                                          Gasolina                                      Daddy Yankee
                                             Gecko                                    Oliver Heldens
                                            German                                                EO
                                          Geronimo                                          Sheppard
                                          Get Back                                          Ludacris
                                          Get Busy                                         Sean Paul
                                  Get It On Tonite                                    Montell Jordan
                                    Get It Poppin'                                           Fat Joe
                                     Get It Shawty                                             Lloyd
                                           Get Low                      Lil Jon & The East Side Boyz
                                         Get Lucky                                         Daft Punk
                                         Get Right                                    Jennifer Lopez
                                            Get Up                                             Ciara
                                            Get Up                                     Bingo Players
                                   Get Ur Freak On                                     Missy Elliott
                             Get the Party Started                                              P!nk
                                  Gettin' Over You                                      David Guetta
                                     Ghetto Gospel                                              2Pac
                                             Ghost                                    Ella Henderson
                                        Ghost Town                                      Adam Lambert
                                             Giant                                     Calvin Harris
                                        Gimme More                                    Britney Spears
                                        Gimme That                                       Chris Brown
                                   Gimme the Light                                         Sean Paul
                                              Girl                                   Destiny's Child
                                        Girlfriend                                            *NSYNC
                                        Girlfriend                                     Avril Lavigne
                                        Girls Like                                      Tinie Tempah
                                    Girls Like You                                          Maroon 5
                                      Give It 2 Me                                           Madonna
                                     Give It To Me                                         Timbaland
                                  Give It Up to Me                                         Sean Paul
                                Give Me Everything                                           Pitbull
                           Give Your Heart a Break                                       Demi Lovato
                                     Glad You Came                                        The Wanted
                                         Glamorous                                            Fergie
                                          Glorious                                        Macklemore
                                     Go Let It Out                                             Oasis
                                    God is a woman                                     Ariana Grande
                                        God's Plan                                             Drake
                                         Going Bad                                         Meek Mill
                                              Gold                                            Kiiara
                                       Gold Digger                                        Kanye West
                                         Gold Dust                                          DJ Fresh
                                      Golden Skans                                           Klaxons
                                              Gone                                            *NSYNC
                                      Good Feeling                                          Flo Rida
                                      Good For You                                      Selena Gomez
                                 Good Girls Go Bad                                    Cobra Starship
                                        Good Grief                                          Bastille
                                         Good Life                                        Kanye West
                                         Good Life                                       OneRepublic
                                         Good Life                                                 G
                                         Good Luck                                     Basement Jaxx
                                         Good Time                                          Owl City
                                  Goodbye My Lover                                       James Blunt
                                          Goodbyes                                       Post Malone
                                           Goodies                                             Ciara
                                      Gossip Folks                                     Missy Elliott
                                         Got Money                                         Lil Wayne
                                 Gotta Be Somebody                                        Nickelback
                               Gotta Get Thru This                                Daniel Bedingfield
                               Gotta Get Thru This                                Daniel Bedingfield
                                    Gotta Tell You                                    Samantha Mumba
                                       Grace Kelly                                              MIKA
                                       Green Light                                       John Legend
                                           Grenade                                        Bruno Mars
                                            Grillz                                             Nelly
                                     Grind With Me                                      Pretty Ricky
                                        Gucci Gang                                          Lil Pump
                                           HUMBLE.                                    Kendrick Lamar
                                            Habits                                           Tove Lo
                                         Halfcrazy                                   Musiq Soulchild
                                      Hall of Fame                                        The Script
                                        Hallelujah                                   Alexandra Burke
                                              Halo                                           Beyonce
                                          HandClap                             Fitz and The Tantrums
                                       Hands Clean                                 Alanis Morissette
                                Hands on the Wheel                                       ScHoolboy Q
                               Hanging By A Moment                                         Lifehouse
                                           Happier                                        Marshmello
                                             Happy                                           Ashanti
                                             Happy                                 Pharrell Williams
                                              Hard                                           Rihanna
                                      Harlem Shake                                            Baauer
                                Hate It Or Love It                                          The Game
                                            Havana                                    Camila Cabello
                                     Have You Ever                                          S Club 7
                                   He Can't Love U                                       Jagged Edge
                              He Wasn't Man Enough                                      Toni Braxton
                                         Headlines                                             Drake
                                        Headsprung                                         LL Cool J
                                        Headstrong                                             Trapt
                                       Hear Me Now                                              Alok
                               Heard It All Before                                 Sunshine Anderson
                                      Heart Attack                                       Demi Lovato
                                Heart Skips a Beat                                         Olly Murs
                                      Heartbreaker                                         will.i.am
                                       Heartbroken                                                T2
                                         Heartless                                        Kanye West
                                          Heathens                                 Twenty One Pilots
                                            Heaven                                          DJ Sammy
                              Heaven Is a Halfpipe                                               OPM
                                        Hella Good                                          No Doubt
                                             Hello                                             Adele
                                        Hemorrhage                                              Fuel
                                              Here                                      Alessia Cara
                                              Here                                      Alessia Cara
                                      Here Is Gone                                 The Goo Goo Dolls
                                  Here Without You                                      3 Doors Down
                        Here's to Never Growing Up                                     Avril Lavigne
                                              Hero                                      Chad Kroeger
                                            Heroes                                            Alesso
                                          Hey Baby                                           DJ Atzi
                                          Hey Baby                                          No Doubt
                                          Hey Baby                                           Pitbull
                                       Hey Brother                                            Avicii
                                         Hey Daddy                                             Usher
                                          Hey Mama                                   Black Eyed Peas
                                          Hey Mama                                      David Guetta
                                       Hey Porsche                                             Nelly
                                 Hey There Delilah                                   Plain White T's
                                           Hey Ya!                                           Outkast
                                          Hideaway                                            Kiesza
                                              High                                        Peking Duk
                                 High By The Beach                                      Lana Del Rey
                                        High Hopes                               Panic! At The Disco
                                            Higher                                             Creed
                                            Higher                                     The Saturdays
                                            Higher                                         Taio Cruz
                                           Him & I                                                 G
                                           Him & I                                                 G
                                    Hips Don't Lie                                           Shakira
                                  Hit 'Em Up Style                                      Blu Cantrell
                                           Hold On                                  Chord Overstreet
                        Hold On - We're Going Home                                             Drake
                                  Hole In The Head                                         Sugababes
                                        Holidae In                                            Chingy
                                           Holiday                                     Dizzee Rascal
                                    Hollaback Girl                                      Gwen Stefani
                                        Holy Grail                                               JAY
                                              Home                                 Machine Gun Kelly
                                        Homecoming                                        Kanye West
                                 Homemade Dynamite                                             Lorde
                                         Honey Bee                                     Blake Shelton
                                               Hot                                              INNA
                                          Hot Boyz                                     Missy Elliott
                                   Hot Girl Summer                               Megan Thee Stallion
                                      Hot In Herre                                             Nelly
                                        Hot N Cold                                        Katy Perry
                                         Hot N*gga                                     Bobby Shmurda
                                     Hot Right Now                                          DJ Fresh
                                Hotel Room Service                                           Pitbull
                                     Hotline Bling                                             Drake
                                     Hotline Bling                                             Drake
                                  Hotter Than Hell                                          Dua Lipa
                                          How Come                                               D12
                             How Deep Is Your Love                                     Calvin Harris
                                 How Do You Sleep?                                         Sam Smith
                                          How Long                                      Charlie Puth
                                           How Low                                          Ludacris
                                       How To Love                                         Lil Wayne
                                         How We Do                                          The Game
                                         How We Do                                          Rita Ora
                       How You Gonna Act Like That                                            Tyrese
                                 How You Remind Me                                        Nickelback
                          How to Be a Heartbreaker                                            MARINA
                                How to Save a Life                                          The Fray
                                             Human                                    Rag'n'Bone Man
                                           Hung Up                                           Madonna
                                     Hurts So Good                                          Astrid S
                              Hymn for the Weekend                                          Coldplay
                                        Hypnotized                                             Plies
                                  I Believe in You                                     Kylie Minogue
             I Bet You Look Good On The Dancefloor                                    Arctic Monkeys
                                             I Can                                               Nas
                                I Could Be The One                                            Avicii
                                             I Cry                                          Flo Rida
                         I Don't Feel Like Dancin'                                   Scissor Sisters
                             I Don't Fuck With You                                          Big Sean
                       I Don't Like It - I Love It                                          Flo Rida
                                I Don't Wanna Know                                      Mario Winans
                         I Dont Wanna Live Forever                                              ZAYN
                                  I Feel It Coming                                        The Weeknd
                                   I Follow Rivers                                          Lykke Li
                                           I Got U                                       Duke Dumont
                                   I Gotta Feeling                                   Black Eyed Peas
                       I Hate Everything About You                                  Three Days Grace
                                  I Hate This Part                                The Pussycat Dolls
                                  I Hate This Part                                The Pussycat Dolls
                               I Just Wanna Love U                                               JAY
                                   I Kissed A Girl                                        Katy Perry
                          I Knew You Were Trouble.                                      Taylor Swift
                          I Knew You Were Trouble.                                      Taylor Swift
                   I Know What You Did Last Summer                                      Shawn Mendes
                              I Know What You Want                                      Busta Rhymes
                              I Know What You Want                                      Busta Rhymes
                                I Know You Want Me                                           Pitbull
                                         I Like It                                            Sammie
                                         I Like It                                  Enrique Iglesias
                                         I Like It                                           Cardi B
                                  I Like Me Better                                              Lauv
                                       I Like That                                           Houston
                                    I Like The Way                                       Bodyrockers
                                    I Love College                                        Asher Roth
                                         I Love It                                         Icona Pop
                                         I Love It                                         Icona Pop
                                        I Love You                                       Faith Evans
                                   I Luv Your Girl                                               The
                                   I Need A Doctor                                           Dr. Dre
                                   I Need A Dollar                                        Aloe Blacc
                                        I Need You                                       LeAnn Rimes
                                  I Need Your Love                                     Calvin Harris
                                     I Need a Girl                                             Diddy
                                     I Need a Girl                                             Diddy
                                  I Predict A Riot                                     Kaiser Chiefs
                                        I See Fire                                        Ed Sheeran
                            I Took A Pill In Ibiza                                       Mike Posner
                                           I Tried                                        Bone Thugs
                                     I Turn To You                                         Melanie C
                                     I Turn to You                                Christina Aguilera
                                        I Wanna Go                                    Britney Spears
                                      I Wanna Know                                               Joe
                                  I Wanna Love You                                              Akon
                                I Want You To Know                                              Zedd
                         I Will Never Let You Down                                          Rita Ora
                                            I Wish                                       Carl Thomas
                        I Wish I Was a Punk Rocker                                        Sandi Thom
                                I Won't Let You Go                                    James Morrison
                                      I Would Like                                      Zara Larsson
                        I Write Sins Not Tragedies                               Panic! At The Disco
                              I'm Gonna Be Alright                                    Jennifer Lopez
                                    I'm In Control                                       AlunaGeorge
                                   I'm Like A Bird                                     Nelly Furtado
                                         I'm N Luv                                                 T
                                     I'm Not Alone                                     Calvin Harris
                  I'm Not a Girl - Not Yet a Woman                                    Britney Spears
                                        I'm On One                                         DJ Khaled
                                    I'm Outta Love                                         Anastacia
                                          I'm Real                                    Jennifer Lopez
                                        I'm Sprung                                                 T
                        I'm Still in Love with You                                         Sean Paul
                                         I'm Upset                                             Drake
                                   I'm a Slave 4 U                                    Britney Spears
                                        I'm a Thug                                       Trick Daddy
                                      I'm with You                                     Avril Lavigne
                                             IDGAF                                          Dua Lipa
                                           Ice Box                                           Omarion
                                    If I Could Go!                                    Angie Martinez
                                    If I Die Young                                    The Band Perry
                                    If I Die Young                                    The Band Perry
                                   If I Were a Boy                                           Beyonce
                            If There's Any Justice                                             Lemar
                        If Today Was Your Last Day                                        Nickelback
                           If Tomorrow Never Comes                                     Ronan Keating
                                     If U Seek Amy                                    Britney Spears
                             If We Ever Meet Again                                         Timbaland
                                  If You Come Back                                              Blue
                             If You're Not The One                                Daniel Bedingfield
                             If You're Not The One                                Daniel Bedingfield
                                           Imma Be                                   Black Eyed Peas
                                        Impossible                                         Shontelle
                                        Impossible                                      James Arthur
                                        In Da Club                                           50 Cent
                                   In For The Kill                                           La Roux
                               In Love With a Girl                                      Gavin DeGraw
                                    In My Feelings                                             Drake
                                        In My Head                                      Jason Derulo
                                        In My Mind                                            Dynoro
                                       In My Place                                          Coldplay
                                       In The Dark                                               DEV
                                    In The Morning                                        Razorlight
                                      In The Night                                        The Weeknd
                                    In Those Jeans                                          Ginuwine
                                      In Your Eyes                                     Kylie Minogue
                                        In the End                                       Linkin Park
                                        In the End                                       Linkin Park
                               In the Name of Love                                     Martin Garrix
                                    In the Shadows                                        The Rasmus
                                        Incomplete                                             Sisqo
                                        Incomplete                                   Backstreet Boys
                         Independent Women - Pt. 1                                   Destiny's Child
                         Independent Women - Pt. 1                                   Destiny's Child
                                     Infinity 2008                                 Guru Josh Project
                                International Love                                           Pitbull
                                          Into You                                          Fabolous
                                          Into You                                     Ariana Grande
                                    Into the Night                                           Santana
                                       Intoxicated                                    Martin Solveig
                                             Intro                                            The xx
                                     Irreplaceable                                           Beyonce
                                      Irresistible                                   Jessica Simpson
                                 Is It Any Wonder?                                             Keane
                                       It Ain't Me                                              Kygo
                                  It Feels So Good                                           Sonique
                                           It Girl                                      Jason Derulo
                                      It Wasn't Me                                            Shaggy
                                      It Will Rain                                        Bruno Mars
                                       It's A Vibe                                          2 Chainz
                                  It's Been Awhile                                            Staind
                                   It's Goin' Down                                          Yung Joc
                                  It's Gonna Be Me                                            *NSYNC
                                    It's Like That                                      Mariah Carey
                                      It's My Life                                          Bon Jovi
                                      It's My Life                                          No Doubt
                                      It's My Life                                          No Doubt
                                  It's Not My Time                                      3 Doors Down
                                     It's Not Over                                          Daughtry
                                     It's Over Now                                               112
                                  It's Raining Men                                    Geri Halliwell
                     It's the Way You Make Me Feel                                             Steps
                                              Izzo                                               JAY
                                       Jackie Chan                                            Tiesto
                                           Jai Ho!                                       A.R. Rahman
                                     Jar of Hearts                                   Christina Perri
                                           Jealous                                        Nick Jonas
                              Jenny from the Block                                    Jennifer Lopez
                                       Jesus Walks                                        Kanye West
                                    Jocelyn Flores                                      XXXTENTACION
                                             Jubel                                         Klingande
                                             Juicy                                          Doja Cat
                                 Juju on That Beat                                    Zay Hilfigerrr
                                           Jumanji                                           B Young
                                              Jump                                       Girls Aloud
                                 Jumpin' - Jumpin'                                   Destiny's Child
                                           Jumpman                                             Drake
                                           Jumpman                                             Drake
                                      Just A Dream                                             Nelly
                                       Just A Kiss                                            Lady A
                                    Just A Lil Bit                                           50 Cent
                                     Just A Little                                         Liberty X
                              Just Cant Get Enough                                   Black Eyed Peas
                                        Just Dance                                         Lady Gaga
                                         Just Fine                                     Mary J. Blige
                                      Just Hold On                                        Steve Aoki
                                    Just Like Fire                                              P!nk
                                      Just Lose It                                            Eminem
                              Just the Way You Are                                        Bruno Mars
                                             Karma                                       Alicia Keys
                                    Keisha & Becky                                     Russ Millions
                                        Kickstarts                                           Example
                                              Kids                                              MGMT
                             Kill Em With Kindness                                      Selena Gomez
                                    Kill This Love                                         BLACKPINK
                                              King                                     Years & Years
                                       King's Dead                                          Jay Rock
                                         Kiss Kiss                                     Holly Valance
                                         Kiss Kiss                                       Chris Brown
                                         Kiss Kiss                                       Chris Brown
                            Kiss Me Thru The Phone                                        Soulja Boy
                                    Knock You Down                                       Keri Hilson
                                        Kryptonite                                      3 Doors Down
                                  L'Amour Toujours                                   Gigi D'Agostino
                               LOVE. FEAT. ZACARI.                                    Kendrick Lamar
                                               LUV                                        Tory Lanez
                                   La Camisa Negra                                            Juanes
                                          La La La                                       Naughty Boy
                                        La Tortura                                           Shakira
                                    Ladbroke Grove                                         AJ Tracey
                                              Lady                                             Modjo
                                    Lady Marmalade                                Christina Aguilera
                                       Laffy Taffy                                               D4L
                                       Laffy Taffy                                               D4L
                                 Last Friday Night                                        Katy Perry
                                        Last Night                                      Keyshia Cole
                                             Latch                                        Disclosure
                                             Latch                                        Disclosure
                                         Lean Back                                      Terror Squad
                                           Lean On                                       Major Lazer
                         Lean Wit It - Rock Wit It                                Dem Franchize Boyz
                                             Leave                                              JoJo
                                    Leave Me Alone                                      Flipp Dinero
                                   Leave Right Now                                        Will Young
                                   Leave Right Now                                        Will Young
